reviews,labels
Flight from London to Miami then Miami to La Paz. By far the most disappointing flight we have had. The cabin crew were unbelievably rude disinterested and unhelpful. We've had much better service with budget airlines. Thought it was ridiculous that people could reserve seats up to one year in advance. Our flights were booked by a tour company so we were unaware of this until a few days before and therefore left with disappointing seats on the way out to our honeymoon destination. Will not fly with American Airlines again.,0
ICN-BKK-KUL. First time flying with Thai Airways and via Bangkok. Check-in at ICN was smooth and fast. The ICN to BKK was quite empty and had a row to myself. The entertainment system was good but B772 ICN-BKK screen was smaller than the new A330 BKK to KUL. The food on both sector were great one of the best. Service was great. Plenty of drink rounds by the cabin crews. The only problem was walking on the tarmac on both flight at BKK. Overall it was a pleasant journey and would fly with Thai airways again in the future.,1
Ottawa to Iqaluit (formally know as Frobisher Bay) in Canada?s Arctic. First time flying with Canadian North. Checked in at the Ottawa airport for the morning flight. The gate was located in the new terminal. Flight was on a 737 with about 60 seats. Asked the flight attendant where the rest of the seats were? Was informed that the airplane was in a ?combi mode??and had freight in the forward half of the plane. She also explained that's why we had to board stairs at the back because the airbridge can not be used. Flight took just under 3 hours. Outstanding service. From a hot breakfast hot towels and coffee with Irish cream all included in the fare. Return back to Ottawa 2 days later with the same great services. Meal this time was an Arctic Char with free wine and another coffee and Irish cream. There was no entertainment consoles on board but it did not seem to mater as there were no bad jokes by the flight attendants either. Will fly with them again!,0
Flight BI 874 KUL-BWN Feb 17 2013. No 'welcome' 'thank you' or 'goodbye'. No newspapers at all. No entertainment. No coffee / tea in my section. Only one choice of meal (beef) which I declined and wasn't offered as much as a packet of peanuts instead. Crew apathetic and struggling with basic English. I appreciate it is Chinese New Year season but surely that has been factored into the price of the ticket (RM1700+). I used to think about bringing my family to Brunei on vacation (as opposed to just business). After this flight I'm afraid it's not going to happen.,0
Flew LHR-MIA in WT+. Seats 13E and 13F on 747. It was very comfortable for a day flight and after a light meal I managed to get around 5 hours of sleep. Recline is good and leg room ok for a person of my height 5ft 10in. Food was ok and would have liked to eat my partners sticky toffee pudding because mine went down too well! We were off the plane first at MIA before First and club which was rather nifty. Good experience.,1
"AMS-OPO (TP651 on 25/7/2013) and OPO-AMS (TP652 on 29/7/2013). Inbound flight delayed 1hr 35mins for a 2hr 38mins flight. Outbound flight delayed 30 minutes. Delays are constant on this route. The last 10 flights I flew on this route were all delayed. The explanation was always the same: ""late arrival of the aircraft"" which really is no explanation whatsoever as to say that the flight is late because the aircraft is late amounts to say nothing at all. The delays led to the loss of takeoff/landing slots and/or to the allocation of the farthest takeoff/landing runaway in Schiphol which adds to the delays and is frustrating to the passengers. Priority luggage at the arrival of the aircraft in Amsterdam was delivered last compounding the delay. Boarding was chaotic with everyone boarding simultaneously and queues not being respected both in OPO and AMS. Aircraft on this route (Fokker-100) are old and outdated. TAP Portugal is expensive (flight costs are those of a premium airline while the service is certainly not) inefficient and its on-time performance is appalling. Although the food is decent in the business cabin the service is nothing special with attitude shown from both the cabin crew and the handling staff. It is dangerously placed in an airline limbo: its service is slightly better than a low cost - food/drinks and newspapers are provided - but its cost is that of a premium airline. However delays are a constant. All in all it would not be a sustainable airline if it did not have the advantage of the de-facto monopoly in certain routes. Not recommended.",0
Samara-Prague-Paris and Samara-Prague-Barcelona. 2 baggage losses simply outrageous - when I was traveling to Paris I was supposed to stay there for 6 months and when they lost my baggage I had only the clothes that were actually on me at the moment. I had my baggage back only 2 weeks after. Don't expect the representatives to react to your claims you're going to be politely ignored. Now I'm in Barcelona and was supposed to go to the Pyrenees to ski but they lost my baggage again and all my sportswear is in there. It may seem like good value but you risk too much and if they lose your baggage you're gonna pay the difference you'd pay for a flight with a different airline. So as you might guess I do not recommend this airline.,0
"YYZ-YYC. TV worked properly for a change managed to get most of the channels. Crew seemed disinterested in doing their work which is a little unusual for Westjet. I do have to say though I can't stand their seats. I am only 5'9"" but the seat ends about half way down my thigh. There is no support and after 4+ hours a little tiring. Don't think I would fly them long distances.",1
Luton to Budapest. Flight supposed to be 2025 got to gate to embark and they called a 2 hour delay as problem with plane. Estimated time for flight in the end was 11.00am the next day and I doubt whether that happened. Myself and a lot of others decided not to fly and it took over an hour to get our bags back off plane. Decided to book with easyjet. I lost 1nights accommodation 1 taxi transfer and too tired to do anything as by the time I arrived in Budapest just wanted to sleep so wasted day. Airport staff at Menzies were unhelpful (police were even called as a lot or irate people). Tiny prices but pathetic service will never fly Wizz Air again.,0
BNE-HVB-BNE in Dash 8 300 and Q400 aircraft excellent flights. I would happily fly QantasLink all around Australia if I could. Superb service for short flights which were on-time despite poor weather. Excellent wine (free) on these short flights. Often the best service on Qantas family of airlines is the smaller internal flights with young and enthusiastic staff of QantasLink - they have an entirely better attitude compared with many of their long-serving senior colleagues on the long-haul services of Qantas.,1
